,Borough,Location,Latitude,Longitude,Neighbourhoods covered
0,Scarborough,Agincourt North,43.8080383,-79.2664391,Agincourt and Brimwood
1,Scarborough,Agincourt South-Malvern West,43.781969000000004,-79.25768943954708,Agincourt and Malvern
2,Etobicoke,Alderwood,43.6017173,-79.5452325,Alderwood
3,Old City of Toronto,Annex,43.6703377,-79.407117,The Annex and Seaton Village
4,North York,Banbury-Don Mills,43.6703377,-79.407117,Don Mills
5,North York,Bathurst Manor,43.76389295,-79.45636693710946,Bathurst Manor
6,Old City of Toronto,Bay Street Corridor,43.6688649,-79.3891256,"Bay Street, Financial District"
7,North York,Bayview Village,43.7691966,-79.3766617,Bayview Village
8,North York,Bayview Woods-Steeles,43.7981268,-79.3829726,Bayview Woods
9,North York,Bedford Park-Nortown,43.7981268,-79.3829726,"Bedford Park, Ledbury Park, and Nortown"
10,York,Beechborough-Greenbrook,43.7981268,-79.3829726,Keelesdale and Silverthorn
11,Scarborough,Bendale,43.7535196,-79.2553355,Bendale
12,Scarborough,Birchcliffe-Cliffside,43.7535196,-79.2553355,Birch Cliff and Cliffside
13,North York,Black Creek,43.6954005,-79.485495,Jane and Finch
14,Old City of Toronto,Blake-Jones,43.6954005,-79.485495,The Pocket and Riverdale
15,York,Briar Hill-Belgravia,43.6954005,-79.485495,Fairbank
16,North York,Bridle Path-Sunnybrook-York Mills,43.6954005,-79.485495,The Bridle Path and York Mills
17,East York,Broadview North,43.6839216,-79.3569421,Old East York
18,North York,Brookhaven-Amesbury,43.6839216,-79.3569421,Amesbury
19,Old City of Toronto,Cabbagetown-South St. James Town,43.6628885,-79.3676421,Cabbagetown and St. James Town
20,York,Caledonia-Fairbank,43.6628885,-79.3676421,Fairbank and Cedarvale
21,Old City of Toronto,Casa Loma,43.6781015,-79.409415775,"Casa Loma, and Wychwood"
22,Scarborough,Centennial Scarborough,43.7874914,-79.1507681,Port Union and Centennial
23,Old City of Toronto,Church-Yonge Corridor,43.6707855,-79.3856867,Church and Wellesley and Ryerson University
24,Scarborough,Clairlea-Birchmount,43.6707855,-79.3856867,Clairlea
25,North York,Clanton Park,43.74576315,-79.43817473462119,Wilson Heights
26,Scarborough,Cliffcrest,43.7218363,-79.2362138,Cliffside
27,Old City of Toronto,Corso Italia-Davenport,43.677954,-79.4430828,"Corso Italia, Davenport, Earlscourt, and Regal Heights"
28,East York,Crescent Town,43.695403,-79.293099,Crescent Town
29,East York,Danforth - East York,43.6881713,-79.3018156,"Old East York, The Danforth"
30,Old City of Toronto,Danforth Village - Toronto,43.6833573,-79.3235744,The Danforth
31,North York,Don Valley Village,43.7926732,-79.3547219,"Don Valley Village, The Peanut"
32,Scarborough,Dorset Park,43.7528467,-79.282067,Dorset Park
33,Old City of Toronto,Dovercourt-Wallace Emerson-Junction,43.7528467,-79.282067,"Dovercourt Park, Wallace Emerson, Junction Triangle and Davenport"
34,North York,Downsview-Roding-CFB,43.7528467,-79.282067,Downsview
35,Old City of Toronto,Dufferin Grove,43.6536319,-79.4264389,Brockton and Dufferin Grove
36,Old City of Toronto,East End-Danforth,43.6684402,-79.33067,"Upper Beaches, East Danforth"
37,Etobicoke,Edenbridge-Humber Valley,43.670672,-79.5188545,Humber Valley
38,Scarborough,Eglinton East,43.7394646,-79.2320997,Eglinton East
39,Etobicoke,Elms-Old Rexdale,43.72176985,-79.55217331972301,The Elms and Rexdale
40,North York,Englemount-Lawrence,43.7172222,-79.4382909,Lawrence Manor and Glen Park
41,Etobicoke,Eringate-Centennial-West Deane,43.7172222,-79.4382909,Centennial Park and West Deane Park
42,Etobicoke,Etobicoke West Mall,43.6435491,-79.56532534553605,Centennial Park and Eatonville
43,North York,Flemingdon Park,43.7184315,-79.333204,Flemingdon Park
44,Old City of Toronto,Forest Hill North,43.6935586,-79.4139023,Forest Hill
45,Old City of Toronto,Forest Hill South,43.6935586,-79.4139023,Forest Hill
46,North York,Glenfield-Jane Heights,43.6935586,-79.4139023,Jane and Finch
47,Old City of Toronto,Greenwood-Coxwell,43.6935586,-79.4139023,Leslieville
48,Scarborough,Guildwood,43.7552251,-79.1982293,Guildwood
49,North York,Henry Farm,43.7695089,-79.354296,Henry Farm
50,Old City of Toronto,High Park North,43.6573833,-79.470961,"High Park North, West Bend"
51,Old City of Toronto,High Park-Swansea,43.6527091,-79.4702777,"High Park, Roncesvalles and Swansea"
52,Scarborough,Highland Creek,43.7901172,-79.1733344,Highland Creek
53,North York,Hillcrest Village,43.6816953,-79.4257118,Hillcrest Village
54,Etobicoke,Humber Heights-Westmount,43.6957852,-79.5208324,Humber Heights-Westmount
55,North York,Humber Summit,43.7600778,-79.5717598,Humber Summit
56,North York,Humbermede,43.7600778,-79.5717598,Humbermede and Emery
57,York,Humewood-Cedarvale,43.6883215,-79.4280805,Cedarvale and Humewood
58,Scarborough,Ionview,43.7359904,-79.2765146,Ionview
59,Etobicoke,Islington-City Centre West,43.650206499999996,-79.52788201116351,Islington-Six Points
60,Old City of Toronto,Junction Area,43.650206499999996,-79.52788201116351,The Junction
61,York,Keelesdale-Eglinton West,43.6901578,-79.4749985,Keelesdale and Silverthorn
62,Scarborough,Kennedy Park,43.724878,-79.2539688,Scarborough Junction
63,Old City of Toronto,Kensington-Chinatown,43.724878,-79.2539688,"Alexandra Park, Chinatown, Grange Park, Kensington Market"
64,Etobicoke,Kingsview Village-The Westway,43.724878,-79.2539688,Kingsview Village and Richview
65,Etobicoke,Kingsway South,43.6473811,-79.5113328,The Kingsway
66,Scarborough,L'Amoreaux,43.799003,-79.3059669,"L'Amoreaux, Leacock, and Bridlewood"
67,York,Lambton Baby Point,43.799003,-79.3059669,Baby Point and Old Mill
68,North York,Lansing-Westgate,43.7589503,-79.4225555,Lansing
69,Old City of Toronto,Lawrence Park North,43.729199,-79.4032525,"Bedford Park, Teddington Park, and Wanless Park"
70,Old City of Toronto,Lawrence Park South,43.729199,-79.4032525,"Lawrence Park, Lytton Park, North Toronto"
71,East York,Leaside-Bennington,43.7014812,-79.3731559,Leaside
72,Old City of Toronto,Little Portugal,43.64741325,-79.43111632546047,Little Portugal and Brockton
73,Etobicoke,Long Branch,43.59200455,-79.54536450659592,Long Branch
